comment_clean,comment_no_stopword,comment_stemmed,sentiment
minggu lalu baru beli buat kuliah jugaa g ada masalah sejauh ini walau tugas gw revisi mulu jadi sering nyetak wkakakakak,minggu beli kuliah jugaa tugas gw revisi mulu nyetak wkakakakak,minggu beli kuliah jugaa tugas gw revisi mulu nyetak wkakakakak,netral
pengalaman paling beruntung pakai printer ink tank canon yang g series tinta hitamnya ngga luntur beda sama epson l tinta hitamnya masih luntur jelek banget pada rusak dokumen gua ngga lagi dah beli epson,pengalaman beruntung pakai printer ink tank canon series tinta hitamnya ngga luntur beda epson tinta hitamnya luntur jelek banget rusak dokumen ngga dah beli epson,alam untung pakai printer ink tank canon series tinta hitam ngga luntur beda epson tinta hitam luntur jelek banget rusak dokumen ngga dah beli epson,negatif
tokonya temen saya udah taun pake hp ink tank wireless baru x ganti head bagus hasil printnya saya coba buat cetak foto pake kertas glossy gr di banding l detailnya lebih dapet yg hp,tokonya temen taun pake hp ink tank wireless ganti head bagus hasil printnya coba cetak foto pake kertas glossy gr banding detailnya dapet hp,toko temen taun pake hp ink tank wireless ganti head bagus hasil printnya coba cetak foto pake kertas glossy gr banding detail dapet hp,positif
kapan review iqoo zx nya om,review iqoo zx om,review iqoo zx om,netral
keren dah,keren dah,keren dah,positif
termasuk printer murah dengan kualitas bagus cocok buat anak kuliahan nih yang mau sharing bareng temennya karena bisa wiffi langsung print dari handphone,printer murah kualitas bagus cocok anak kuliahan sharing bareng temennya wiffi langsung print handphone,printer murah kualitas bagus cocok anak kuliah sharing bareng temennya wiffi langsung print handphone,positif
baaf nanya out of topic laptop saya ideapad gaming ach yg rtx default voltase baterai saya adalah volt jika saya mengganti baterai ke volt untuk menaikan kapasitas wh apakah aman ya,baaf nanya out of topic laptop ideapad gaming ach rtx default voltase baterai volt mengganti baterai volt menaikan kapasitas wh aman ya,baaf nanya out of topic laptop ideapad gaming ach rtx default voltase baterai volt ganti baterai volt naik kapasitas wh aman ya,netral
warna purple nya lucu dan harus punya,warna purple lucu,warna purple lucu,netral
saya pakai canon g utk jualan online udah th awet printer nya palingan harga tintanya bs dimurahkan lagi biar lebih mantap,pakai canon utk jualan online th awet printer palingan harga tintanya bs dimurahkan biar mantap,pakai canon utk jual online th awet printer paling harga tinta bs murah biar mantap,positif
konektivitas wifi mudah bisa di setting economy mode tinta hitam tidak luntur maintanace mudah dan gampang lalu bisa diganti sendiri tidak harus ke service center di kantor sudah lama pakai canon tetep masih awet kalau kita sering mencetak pilihan warna luculucu mantap si canon ini garansi tahun beuh keren,konektivitas wifi mudah setting economy mode tinta hitam luntur maintanace mudah gampang diganti service center kantor pakai canon tetep awet mencetak pilihan warna luculucu mantap canon garansi beuh keren,konektivitas wifi mudah setting economy mode tinta hitam luntur maintanace mudah gampang ganti service center kantor pakai canon tetep awet cetak pilih warna luculucu mantap canon garansi beuh keren,positif
canon ini beda dengan canon yang duluu yaaa bang kalo dulu kan kalo abis tinta mesti ganti catridge kalo sekarang kan sudah sistem print head garansinya lama lagi tahun,canon beda canon duluu yaaa bang kalo kalo abis tinta mesti ganti catridge kalo sistem print head garansinya,canon beda canon duluu yaaa bang kalo kalo abis tinta mesti ganti catridge kalo sistem print head garansi,netral
printer in recomend garansi tahun minim maintanance mesin bandel hasil cetak juga bagus tinta anti luntur di kantor semua pake produk canon kemarin lihat ada warna baru deh beda dari yg lain nih canon keren,printer in recomend garansi minim maintanance mesin bandel hasil cetak bagus tinta anti luntur kantor pake produk canon kemarin lihat warna beda canon keren,printer in recomend garansi minim maintanance mesin bandel hasil cetak bagus tinta anti luntur kantor pake produk canon kemarin lihat warna beda canon keren,positif
rekomended parah saya punya canon g series pake buat usaha cetak undangan ngebut awet udah tahun blm pernah rusaksampe kantor dan kampus full pake canon g series rekomendasi printer awet harga murah nice bgt canon,rekomended parah canon series pake usaha cetak undangan ngebut awet blm rusaksampe kantor kampus full pake canon series rekomendasi printer awet harga murah nice bgt canon,rekomended parah canon series pake usaha cetak undang ngebut awet blm rusaksampe kantor kampus full pake canon series rekomendasi printer awet harga murah nice bgt canon,positif
fitur maintenance box sudah dapet di seri printer rumahan begini mantapp lah jadi lebih praktis,fitur maintenance box dapet seri printer rumahan mantapp praktis,fitur maintenance box dapet seri printer rumah mantapp praktis,netral
mantap nih,mantap,mantap,positif
gilee ada maintenance box dong bukannya di merk epson cuma ada di printer high end doang ya fitur ini menarik juga nih perkembangan canon,gilee maintenance box merk epson printer high end doang ya fitur menarik perkembangan canon,gilee maintenance box merk epson printer high end doang ya fitur tarik kembang canon,netral
mantap printer ini jelas lebih awet karna sudah menggunakan print head warnanya juga lucu apalagi warna purple nyagaransi nya sampe tahun wedannn,mantap printer awet karna print head warnanya lucu warna purple nyagaransi sampe wedannn,mantap printer awet karna print head warna lucu warna purple nyagaransi sampe wedannn,positif
bang kpn review iqoo zx,bang kpn review iqoo zx,bang kpn review iqoo zx,netral
bang mau nanya knpa ram usage laptop saya bsa sampai gban pdhl laptop nya baru dihidupin,bang nanya knpa ram usage laptop bsa gban pdhl laptop dihidupin,bang nanya knpa ram usage laptop bsa gban pdhl laptop dihidupin,netral
om ded sorry mau nanya diluar topik apa hp perlu di restart kalo sudah terlalu lama up timenya atau tidak walaupun tidak ada kendala sama sekali terimakasih,om ded sorry nanya diluar topik hp restart kalo up timenya kendala terimakasih,om ded sorry nanya luar topik hp restart kalo up timenya kendala terimakasih,netral
bang bahas lenovo v g ryzen,bang bahas lenovo ryzen,bang bahas lenovo ryzen,netral
curiga dengan ada nya print head dan maintenance catridge halnya sparepart terpisah dan bisa ganti sendiri dengan klaim garansi tahun sudah barang tentu akan ada problem dikedepannya dan sudah diantisipasi oleh produsennya sendiri disini saya bukan muji lo ya lebih ke negatif thinking sih,curiga print head maintenance catridge halnya sparepart terpisah ganti klaim garansi barang problem dikedepannya diantisipasi produsennya muji ya negatif thinking,curiga print head maintenance catridge hal sparepart pisah ganti klaim garansi barang problem depan antisipasi produsen muji ya negatif thinking,netral
canon awet buat office epson enak buat detail dan foto ip awet awet ganti catrid penggunaan di kontrol minim jebol epson awet asal ga sering clean boros tinta klo hasil canon lewat,canon awet office epson enak detail foto ip awet awet ganti catrid penggunaan kontrol minim jebol epson awet clean boros tinta hasil canon,canon awet office epson enak detail foto ip awet awet ganti catrid guna kontrol minim jebol epson awet clean boros tinta hasil canon,positif
pak tolong bantu jawab karena saya tidak terlalu mengerti dengan sistem handphone dan maaf pertanyaan saya ini tidak ada kaitan nya dengan video ini saya mau nanya pak saya lagi baca komik di web lalu tiba ke unduh file tanpa nama cuman tidak saya bukak dan langsung saya hapus apa handphone saya tetap bisa ke hack nanti nya pak soal nya teman saya ada yg fb nya yang ke hack maka nya saya penasaran dan tidak tau mau nanya kemana dan menurut saya bapak mengerti mengenai ini terimakasih pak,tolong bantu mengerti sistem handphone maaf kaitan video nanya baca komik web unduh file nama cuman bukak langsung hapus handphone hack teman fb hack penasaran tau nanya kemana mengerti terimakasih,tolong bantu erti sistem handphone maaf kait video nanya baca komik web unduh file nama cuman bukak langsung hapus handphone hack teman fb hack penasaran tau nanya mana erti terimakasih,netral
pengalaman beberapa kali pake merek canon beberapa tipe yg versi lownya sering bgt headnya kena gak lagi deh paring rewel cannon dan hp dibanding epson brother sekarang malah yg paling awet printer brother,pengalaman kali pake merek canon tipe versi lownya bgt headnya kena paring rewel cannon hp dibanding epson brother awet printer brother,alam kali pake merek canon tipe versi lownya bgt headnya kena paring rewel cannon hp banding epson brother awet printer brother,positif
informatif,informatif,informatif,netral
sama printer brother yg pernah di review bagus mana om,printer brother review bagus om,printer brother review bagus om,positif
aku punya printer canon g sudah ngeprint an lembar dan sampai sekarang catridgenya sehat gak ada warna yg kesumbat atau hasil bergaris kalo pun bergaris tinggal dicleaning uda lancar lagi padahal waktu tinta orinya habis aku lanjutin pake tinta blue print padahal jaman dulu catridge printer sangat rawan tapi printer sekarang bandel banget lah,printer canon ngeprint an lembar catridgenya sehat warna kesumbat hasil bergaris kalo bergaris tinggal dicleaning uda lancar tinta orinya habis lanjutin pake tinta blue print jaman catridge printer rawan printer bandel banget,printer canon ngeprint an lembar catridgenya sehat warna sumbat hasil gar kalo gar tinggal dicleaning uda lancar tinta orinya habis lanjutin pake tinta blue print jaman catridge printer rawan printer bandel banget,netral
sayang sekali canon ph nya mahal,sayang canon ph mahal,sayang canon ph mahal,negatif
sayang sekali tidak ada review untuk kualitas hasil cetakan seperti membandingkan kualitas huruf hasil cetak printer ini dengan huruf hasil cetak printer laser,sayang review kualitas hasil cetakan membandingkan kualitas huruf hasil cetak printer huruf hasil cetak printer laser,sayang review kualitas hasil cetak banding kualitas huruf hasil cetak printer huruf hasil cetak printer laser,netral
kantor gue full epson buat prin dokumen proyek sebulan bisa habis kertas box awet sudah tahun cuma agak lambat aja nyetaknya ga secepat canon,kantor full epson prin dokumen proyek sebulan habis kertas box awet lambat aja nyetaknya secepat canon,kantor full epson prin dokumen proyek bulan habis kertas box awet lambat aja nyetaknya cepat canon,positif
printer canon yang masih pakai cartridge head printer dan tinta menyatu lebih awet kalau pemiliknya jarang menggunakannya,printer canon pakai cartridge head printer tinta menyatu awet pemiliknya jarang menggunakannya,printer canon pakai cartridge head printer tinta satu awet milik jarang guna,positif
saya penguna canon g ini review jujur aja selama pemakaian tahunhal yang bikin awet nya itu ialah tinta nya walau saya pake tinta bajakan buat fotokopi tapi gak masalah malah saya sudah balik modal tahunnah hal yang perlu di perhatikan ialah head nyajujur sih semala tahun baru x ganti head dengan durasi print hari kadang lembarya terbilang awet kalau menurut sayacuman di seri nya kaya g itu sudah mengunakan chip maintenen nah itu lah makanya saya agak malas beli yang seri di atas nyanah isue yang berkembang kadang mudah rusak justru gara gara pemakaian bar barkaya maksain prin lembar padahal head nya itu ada jarak nya ya intinya kalau ngeprint atau fotokopi jangan di sekaligus in tapi di jeda menit per lembar,penguna canon review jujur aja pemakaian tahunhal bikin awet tinta pake tinta bajakan fotokopi modal tahunnah perhatikan head nyajujur semala ganti head durasi print kadang lembarya terbilang awet sayacuman seri kaya mengunakan chip maintenen malas beli seri nyanah isue berkembang kadang mudah rusak gara gara pemakaian bar barkaya maksain prin lembar head jarak ya intinya ngeprint fotokopi in jeda menit lembar,penguna canon review jujur aja pakai tahunhal bikin awet tinta pake tinta baja fotokopi modal tahunnah perhati head nyajujur mala ganti head durasi print kadang lembarya bilang awet sayacuman seri kaya mengunakan chip maintenen malas beli seri nyanah isue kembang kadang mudah rusak gara gara pakai bar barkaya maksain prin lembar head jarak ya inti ngeprint fotokopi in jeda menit lembar,positif
saya pakai printer epson l berumur tahun canon pixma g umur tahun saya tetap lebih nyaman pakai epson,pakai printer epson berumur canon pixma umur nyaman pakai epson,pakai printer epson umur canon pixma umur nyaman pakai epson,netral
dah kapok pake canon akhirnya dah berganti ke epson printer baru sekolah gua dan rekan kerja gua saranin beli epson,dah kapok pake canon dah berganti epson printer sekolah rekan kerja saranin beli epson,dah kapok pake canon dah ganti epson printer sekolah rekan kerja saranin beli epson,netral
poin menariknya bisa menggunakan banyak koneksi,poin menariknya koneksi,poin tarik koneksi,netral
mantaaapp pak reviewnya variatif kemarin hp dan di selingi bahas printer suksesss terusss jr dan tim nya,mantaaapp reviewnya variatif kemarin hp selingi bahas printer suksesss terusss jr tim,mantaaapp reviewnya variatif kemarin hp seling bahas printer suksesss terusss jr tim,netral
males gk ad cargernya,males gk ad cargernya,males gk ad cargernya,netral
enak epson kalau canon memang bagus tp kalau rusak sering ganti pcb dan kalau reset harus ke service center repot,enak epson canon bagus tp rusak ganti pcb reset service center repot,enak epson canon bagus tp rusak ganti pcb reset service center repot,negatif
